source,target,type,description,source_urls,confidence,evidence_kind,needs_review,review_notes
11goacemenc,17go-pua,follow,Authenticated X following list shows this account follows @17go_pua.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,roa-pua,follow,Authenticated X following list shows this account follows @roa_pua.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,rei-app-pua,follow,Authenticated X following list shows this account follows @rei_app_pua.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,shouri-ikb,follow,Authenticated X following list shows this account follows @shouri_ikb.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,eb6lx,follow,Authenticated X following list shows this account follows @Eb6Lx.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,aa09270,follow,Authenticated X following list shows this account follows @aa09270.,https://x.com/11goacemenc | https://x.com/aa09270,0.64,mixed,True,Following-guided public profile screening from data/growth/following_screened.json.
1388-pqq,x,affiliation,Profile links point to X.,https://x.com/1388_pqq,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
17go-pua,x,affiliation,Profile links point to X.,https://x.com/17go_pua,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
1919-sexercise,x,affiliation,Profile links point to X.,https://x.com/1919_SEXercise,0.86,fact,True,"Following-guided public profile screening from data/growth/following_screened.json. Sources following this account: nanpa-doraemon, yomaru-street."
1919seijixxx,x,affiliation,Profile links point to X.,https://x.com/1919seijixxx,0.86,fact,True,"Following-guided public profile screening from data/growth/following_screened.json. Sources following this account: motemoteyagi, nanpahamehame."
1tensaipua1,x,affiliation,Profile links point to X.,https://x.com/1tensaipua1,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
1tensaipua1,sshi-pua,follow,Authenticated X following list shows this account follows @sshi_pua.,https://x.com/1tensaipua1 | https://x.com/1tensaipua1/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
1tensaipua1,komanyan28,follow,Authenticated X following list shows this account follows @komanyan28.,https://x.com/1tensaipua1 | https://x.com/1tensaipua1/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
1tensaipua1,miyagi-street,follow,Authenticated X following list shows this account follows @miyagi_street.,https://x.com/1tensaipua1 | https://x.com/miyagi_street,0.64,mixed,True,Following-guided public profile screening from data/growth/following_screened.json.
1tensaipua1,tyimt286296,follow,Authenticated X following list shows this account follows @tyimt286296.,https://x.com/1tensaipua1 | https://x.com/tyimt286296,0.64,mixed,True,Following-guided public profile screening from data/growth/following_screened.json.
1tensaipua1,ura1ten,profile_mention,Has public sub-account @ura1ten.,https://x.com/1tensaipua1 | https://x.com/ura1ten,0.7,mixed,True,Densify pass: sub/main account link from public bio (メイン→@handle).
1time2time2time,x,affiliation,Profile links point to X.,https://x.com/1time2time2time,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
1time2time2time,tokyo,activity,Approved review candidate from profile_text mentioning 東京.,https://x.com/1time2time2time,0.4,interpretation,False,"Approved from review candidate 1time2time2time__tokyo__activity. Original evidence: Dear Boy (@1time2time2time)
めてょぶみん
Location: 東京 Approval note: bulk-approve"
1x5r7zr6nufyswr,x,affiliation,Profile links point to X.,https://x.com/1X5r7ZR6nuFySWr,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
2-me-5,x,affiliation,Profile links point to X.,https://x.com/2_me_5,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
20-zxt02k,x,affiliation,Profile links point to X.,https://x.com/20_ZXT02K,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
2018nampaparty,x,affiliation,Profile links point to X.,https://x.com/2018nampaParty,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
20190517s,x,affiliation,Profile links point to X.,https://x.com/20190517S,0.86,fact,True,"Following-guided public profile screening from data/growth/following_screened.json. Sources following this account: maruoooon-pua, salmon-nnp."
2034567fir,x,affiliation,Profile links point to X.,https://x.com/2034567fir,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
21doragon-pua,x,affiliation,Profile links point to X.,https://x.com/21doragon_pua,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
238383,x,affiliation,Profile links point to X.,https://x.com/238383,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login. X API public profile fields were used to refresh icon and follower coverage. Authenticated X web UserByScreenName public fields were used to refresh icon and follower coverage.
25basabe,x,affiliation,Profile links point to X.,https://x.com/25basabe,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
25basabe,miso,activity,Public X profile identifies this account with the 味噌 field/location.,https://x.com/25basabe,0.78,fact,False,Profile text says: 味噌 2022.07〜.
25basabe,street-fami,follow,Authenticated X following list shows this account follows @street_Fami.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,fami-ver2,follow,Authenticated X following list shows this account follows @fami_ver2.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,nonchama-pro,follow,Authenticated X following list shows this account follows @nonchama0721.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,bokupaipan,follow,Authenticated X following list shows this account follows @bokupaipan.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,pika-pua,follow,Authenticated X following list shows this account follows @pika_pua.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,pika-sublol,follow,Authenticated X following list shows this account follows @pika_sublol.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,pika-stochi,follow,Authenticated X following list shows this account follows @pika_stochi.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,schon-nannpa,follow,Authenticated X following list shows this account follows @schon_nannpa.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,kibaaaana,follow,Authenticated X following list shows this account follows @kibaaaana.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,hancho-pua,follow,Authenticated X following list shows this account follows @hancho_pua.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,gorogoro-street,follow,Authenticated X following list shows this account follows @gorogoro_street.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,aa09270,follow,Authenticated X following list shows this account follows @aa09270.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,yomaru-street,follow,Authenticated X following list shows this account follows @yomaru_street.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,moteken-rd,follow,Authenticated X following list shows this account follows @moteken_RD.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,gokurakuin69,follow,Authenticated X following list shows this account follows @gokurakuin69.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,oyajii-nanpa,follow,Authenticated X following list shows this account follows @oyajii_nanpa.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,maya159r,follow,Authenticated X following list shows this account follows @maya159r.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,tokumei-pua,follow,Authenticated X following list shows this account follows @tokumei_pua_.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,envypua1,follow,Authenticated X following list shows this account follows @envypua1.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
25basabe,riku-pua0801,follow,Authenticated X following list shows this account follows @riku_pua0801.,https://x.com/25basabe | https://x.com/25basabe/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
2gf3rchgar32924,x,affiliation,Profile links point to X.,https://x.com/2GF3RChgAr32924,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
2ql1shy8xdr7gr8,x,affiliation,Profile links point to X.,https://x.com/2ql1sHy8XdR7Gr8,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
2y60402860,x,affiliation,Profile links point to X.,https://x.com/2Y60402860,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
333ginza,x,affiliation,Profile links point to X.,https://x.com/333ginza,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
333ginza,tokyo,activity,Approved review candidate from profile_text mentioning 東京都.,https://x.com/333ginza,0.4,interpretation,False,"Approved from review candidate 333ginza__tokyo__activity. Original evidence: 割烹&バー 参燦々 (@333ginza)
四季折々の食材をコース料理でご堪能いただく、創作割烹の参燦々でございます。 深夜はお飲み物だけもでご利用いただけるダイニングバーとして営業しております。
Location: 東京都中央区銀座6-4-8 ニューギンザビル3号館B1 Approval note: bulk-approve"
3mbga,x,affiliation,Profile links point to X.,https://x.com/3mBga,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
4050-machiapp,x,affiliation,Profile links point to X.,https://x.com/4050_machiapp,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
4050-machiapp,note,affiliation,Profile links point to note.,https://x.com/4050_machiapp | https://note.com/monami_fujisaki/n/n7c1168ad351c,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
44o5ia2bz7awzsb,x,affiliation,Profile links point to X.,https://x.com/44o5ia2bZ7aWZSB,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
44o5ia2bzawzsb,x,affiliation,Profile links point to X.,https://x.com/44o5ia2bZaWZSB,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
4meakg,x,affiliation,Profile links point to X.,https://x.com/4meakg,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
4meakg,kimu-himitsu2,affiliation,Public X profile explicitly links @kimu__himitsu2 as the related sub account after repeated freezes.,https://x.com/4meakg,0.72,fact,False,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
4meakg,tokyo-stonan-kai,affiliation,Public X profile explicitly says this account belongs to 東京ストナン会 for street-only pickup activity.,https://x.com/4meakg,0.82,fact,False,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
5963desuu,x,affiliation,Profile links point to X.,https://x.com/5963desuu,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
5roume,x,affiliation,Profile links point to X.,https://x.com/5roume,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
5roume,instagram,affiliation,Profile links point to Instagram.,https://x.com/5roume | https://instagram.com/black_kuma3?utm_medium=copy_link,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
5sato-pua,x,affiliation,Profile links point to X.,https://x.com/5sato_pua,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
5sato-pua,note,affiliation,Profile links point to note.,https://x.com/5sato_pua | https://note.com/nemunemu_neet,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
5sato-pua,sato-legend,affiliation,Public X profile explicitly links @sato_legend as a related account.,https://x.com/5sato_pua | https://note.com/nemunemu_neet,0.72,fact,False,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
5sato-pua,sato-legend,profile_mention,Public profile text mentions @sato_legend.,https://x.com/5sato_pua,0.72,mixed,True,Densify pass: public profile/bio @handle mention of an already-seeded account.
651st16mile,x,affiliation,Profile links point to X.,https://x.com/651st16mile,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
666-mori,x,affiliation,Profile links point to X.,https://x.com/666___mori,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
666-mori,kansai,activity,Approved review candidate from profile_text mentioning 関西.,https://x.com/666___mori,0.4,interpretation,False,"Approved from review candidate 666-mori__kansai__activity. Original evidence: 森｜スカウト募集・スカウトマン・求人 【関西・大阪・名古屋】 (@666___mori)
ナンパ師からスカウトに。主に歌舞伎町でぴえん狩り、港区でギャル狩りして活動。田舎で中卒で非行の道に走り暴走族特攻隊長某半グレ組織で幹部として成り上がる。某事件を経験し更生。現スカウト幹部＋大阪支部窓口。大規模な大阪支部部下募集中。質問はこちら▶︎ https://t.co/pmvzw7rRJD Approval note: bulk-approve"
666-mori,nagoya,activity,Approved review candidate from profile_text mentioning 名古屋.,https://x.com/666___mori,0.4,interpretation,False,"Approved from review candidate 666-mori__nagoya__activity. Original evidence: 森｜スカウト募集・スカウトマン・求人 【関西・大阪・名古屋】 (@666___mori)
ナンパ師からスカウトに。主に歌舞伎町でぴえん狩り、港区でギャル狩りして活動。田舎で中卒で非行の道に走り暴走族特攻隊長某半グレ組織で幹部として成り上がる。某事件を経験し更生。現スカウト幹部＋大阪支部窓口。大規模な大阪支部部下募集中。質問はこちら▶︎ https://t.co/pmvzw7rRJD Approval note: bulk-approve"
666-mori,osaka,activity,"Approved review candidate from summary, profile_text mentioning 大阪.",https://x.com/666___mori,0.4,interpretation,False,"Approved from review candidate 666-mori__osaka__activity. Original evidence: 森｜スカウト募集・スカウトマン・求人 【関西・大阪・名古屋】 (@666___mori)
ナンパ師からスカウトに。主に歌舞伎町でぴえん狩り、港区でギャル狩りして活動。田舎で中卒で非行の道に走り暴走族特攻隊長某半グレ組織で幹部として成り上がる。某事件を経験し更生。現スカウト幹部＋大阪支部窓口。大規模な大阪支部部下募集中。質問はこちら▶︎ https://t.co/pmvzw7rRJD Approval note: bulk-approve"
672fcdpa,x,affiliation,Profile links point to X.,https://x.com/672fcdpa,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
69image-part2,x,affiliation,Profile links point to X.,https://x.com/69image_part2,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. X API public profile fields were used to refresh icon and follower coverage. Authenticated X web UserByScreenName public fields were used to refresh icon and follower coverage.
69image-part2,note,affiliation,Profile links point to note.,https://x.com/69image_part2 | https://note.com/69image_part4,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. X API public profile fields were used to refresh icon and follower coverage. Authenticated X web UserByScreenName public fields were used to refresh icon and follower coverage.
7-workout,x,affiliation,Profile links point to X.,https://x.com/7_workout,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login. X API public profile fields were used to refresh icon and follower coverage. Authenticated X web UserByScreenName public fields were used to refresh icon and follower coverage.
777www7777,x,affiliation,Profile links point to X.,https://x.com/777www7777,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
7hdsgwa2yp1gola,x,affiliation,Profile links point to X.,https://x.com/7HdsGwa2yp1gOLa,0.86,fact,True,Following-guided public profile screening from data/growth/following_screened.json. Sources following this account: okashinaataoka.
7obayashi,x,affiliation,Profile links point to X.,https://x.com/7obayashi_,0.86,fact,True,Following-guided public profile screening from data/growth/following_screened.json. Sources following this account: dogma-pua666.
7obayashi,miso,activity,Public X profile identifies this account with the 味噌 field/location.,https://x.com/7obayashi_,0.78,fact,False,Profile text ends with 味噌.
7son-goku777,x,affiliation,Profile links point to X.,https://x.com/7son_goku777,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
8rcttqd7y9hirnz,x,affiliation,Profile links point to X.,https://x.com/8RcttQD7Y9Hirnz,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
