source,target,type,description,source_urls,confidence,evidence_kind,needs_review,review_notes
0-q4a,x,affiliation,Profile links point to X.,https://x.com/0_q4a,0.86,fact,True,Following-guided public profile screening from data/growth/following_screened.json. Sources following this account: hapuchan.
0036st,x,affiliation,Profile links point to X.,https://x.com/0036st,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
012-diana,x,affiliation,Profile links point to X.,https://x.com/012_diana_,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
03saei,x,affiliation,Profile links point to X.,https://x.com/03saei,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
0413fumiya3,x,affiliation,Profile links point to X.,https://x.com/0413fumiya3,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
0530riri,x,affiliation,Profile links point to X.,https://x.com/0530riri,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
080uuzcs,x,affiliation,Profile links point to X.,https://x.com/080uuzcs,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
1010ttajt,x,affiliation,Profile links point to X.,https://x.com/1010ttajt,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
1046-essential,x,affiliation,Profile links point to X.,https://x.com/1046_essential,0.86,fact,True,Following-guided public profile screening from data/growth/following_screened.json. Sources following this account: kei-male-apex.
11goacemenc,x,affiliation,Profile links point to X.,https://x.com/11goacemenc,0.86,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login. X API public profile fields were used to refresh icon and follower coverage. Authenticated X web UserByScreenName public fields were used to refresh icon and follower coverage.
11goacemenc,sshi-pua,follow,Authenticated X following list shows this account follows @sshi_pua.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,sub-chilll,follow,Authenticated X following list shows this account follows @sub_chilll.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,ochimpo-samurai,follow,Authenticated X following list shows this account follows @ochimpo_samurai.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,mikeymikey0601,follow,Authenticated X following list shows this account follows @mikeymikey0601.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,mikeynosub,follow,Authenticated X following list shows this account follows @mikeynosub.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,nsj,follow,Authenticated X following list shows this account follows @NSJ____.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,69image-part2,follow,Authenticated X following list shows this account follows @69image_part2.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,mikky-motecoach,follow,Authenticated X following list shows this account follows @mikky_motecoach.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,mky-match,follow,Authenticated X following list shows this account follows @mky_match.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,nonchama-pro,follow,Authenticated X following list shows this account follows @nonchama0721.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
11goacemenc,bakunakioji,follow,Authenticated X following list shows this account follows @bakunakioji.,https://x.com/11goacemenc | https://x.com/11goacemenc/following,0.64,mixed,True,Wave-collected authenticated following edge to an already-seeded account (solid density pass).
