# type|id|name|aliases|scope
# Public, low-risk base nodes
person|puainoki|フランク|PUAINOKI|real
person|pypynanpa|T|pypynanpa|real
person|qrxt-a|コイキングなかで|qrxt_a|real
person|recoa-nanpa|レコア@MBH|recoa_nanpa|real
person|rei-app-pua|黎@🦉事変/kk廻遊|rei_app_pua|real
person|river-p823|フェニックス🪽＠🍚セクシーコマンドー部🍚|River_p823|real
person|ryepua|イヌピィ@淘汰男でも恋がしたい‼️フォロバ100|ryepua|real
person|sato-legend|伝説の佐藤☯️20代の反面教師|sato_legend|real
person|sg-pua|裏拳|SG_pua|real
person|shime-pua|しめ|shime_pua|real
person|shinjukuashura|モテコンサル🅐🅢🅗🅤🅡🅐👹|ShinjukuAshura|real
person|socool55555|味噌どガス|socool55555|real
person|soku-worker2|即リーマン|soku_worker2|real
person|street-fami|ファミチキ🍗弾丸即マシン|street_Fami|real
person|sub-chilll|あつ太郎の本音bot|sub_chilll|real
person|sub-riddle|美容りどる|sub_riddle|real
person|syahudearu|みのるサブ|syahudearu|real
person|syu-puanet|舐め太郎|syu_puanet|real
person|task-pua|タスク＠恋愛攻略|task_pua|real
person|tokumei-pua|とくめい🤡|tokumei_pua_|real
person|tomu-riddle|とむりどる|tomu_riddle|real
person|training-pua|トレニー|training_pua|real
person|yarimokutoma2|とま🧊@尿道弱者|yarimokutoma2|real
person|yaseibyebye|キム即ジン🇰🇷@🥧一門|yaseibyebye|real
person|yobi-gunn|某み|yobi_gunn|real
person|yolu-pua|ヨル|yolu_pua|real
person|yolusub|社不|yolusub|real
person|yossy-st19|よしかす@呪怨ボズ一門|yossy_st19|real
person|yumaru-pua|ゆまる|yumaru_pua|real
person|zero-n2|ゼロ|zero_N2|real
person|zero-pua|養🐷場のゼロ@外見コンサルReMake®︎|zero_pua|real
person|bakunakioji|バンギ@TinderTips1000部突破|bakunakioji|real
person|hiroyukinanpa|ヒロユキ@46歳現役ナンパ師|hiroyukinanpa|real
person|nsan-pua|なつ。|nsan_pua|real
person|kaiser-pua|KAISER|kaiser_pua|real
person|karasu-pua|からすまる|karasu_pua|real
person|dogma-pua666|恋愛のドグマ🦁マッチングアプリ恋活婚活で幸福を掴ませる|dogmapua666|real
person|hanzo-prim|半蔵@マッチングアプリ撮影|hanzo_prim|real
person|hanzo-prim-sub|半蔵サブ|hanzo_prim_sub|real
person|nanpawars|新宿ナンパ大戦争|nanpawars|real
person|suisei-nanpa|流星🐉東京ナンパ講師歴13年|suiseinanpa|real
person|mamemame-nanpa|黒豆|mamemame_nanpa|real
person|motemaga-japan|モテマガJAPAN|motemagajapan|real
person|jinjin-mote9|じんじん|jinjin_mote9|real
person|fuku-second|福|fuku_second|real
person|fuku-third|副|fuku_third|real
person|ashikaga-street|足利|ashikaga_street|real
person|netonan99|ももんが|netonan99|real
person|kazama-0425|カッザーマ|kazama_0425|real
person|kazama-player|かっざーま@さぶあか|kazama_player|real
person|wlkrndstrt|服部@ﾉﾝﾊﾞﾏﾝﾄﾙ|wlkrndstrt|real
person|inaka-stanan|一護@インスタナンパNo. 1|inaka_stanan|real
person|right-pua|ライトくん|right_pua_|real
person|chiba-gqn|チバ|chiba_gqn|real
person|osaka-kakuue|オオサカ|osaka_kakuue|real
person|wing-nampa|wing師範｜アツストサロン代表|wing__nampa|real
person|zenitsu-tinder|ゼンイツ@外見アップのプロフェッショナル|zenitsu_tinder|real
person|fukunaga-pua|フクナガ@タップル完全攻略tips等800部突破✨＆マッチングアプリコンサル＆運用アドバイザー|fukunaga_pua|real
person|yomaru-street|顔面淘汰男(よまる)|yomaru_street|real
person|shingen-pua|信玄|shingen_pua|real
person|juru-pua|ジュルマ@福岡ナンパ講師|juru_pua|real
person|kei-male-apex|けい｜恋愛先生|kei_male_apex|real
person|17go-pua|17号|17go_pua|real
person|souyonesou|図鑑@mTech|souyonesou|real
person|untracemind|マツザキ|untracemind|real
person|rate-beauty|ラテス@外見コンサルReMake®︎|rate_beauty|real
person|foy-jikokensan|スト初心者🔰ふぉい@M🐙/古都|foy_jikokensan|real
person|foy-jibunmigaki|ふぉい@不屈の行動家🏃💨|foy_jibunmigaki|real
person|kawae0021|かわえi|kawae0021|real
person|tapdepoipoi|りょう🌌エモく若返らせる人📸|tapdepoipoi|real
person|hapuchan|ハプちゃん|hapuchan___|real
person|oskeeeer-pua|雄華@雄華軍団団長|oskeeeer_pua|real
person|okinawa-nampa|沖縄ナンパ ぶーやん|okinawa_nampa|real
person|otaku-pua|オタク|otaku_pua|real
