# type|id|name|aliases|scope
# Public, low-risk base nodes
person|pen-pen-st|Ken@🤓|pen_pen_st|real
person|street-ryouta|みやりょー|street_ryouta|real
person|aizen-pua|あいぜん@はんちょう講習生|aizen_pua|real
person|aizen-puasub|あいぜんさぶ|aizen_puasub|real
person|bossnn-pua|ボッスン@あいぜん一番弟子|bossnn_pua|real
person|choppy-nanpa|チョッピー@🏋️|choppy_nanpa|real
person|rizin-pua|RIZIN(らいじん)@LV1|rizin_pua|real
person|mange-pua|ﾀｶ@純愛勃起不全界隈|Mange_pua|real
person|korea-pua|3/18-20🐙 いのっち@シーズン2(いのっち一門)|korea_pua|real
person|lonely-stonan|イーブラ|lonely_stonan|real
person|be-street-pua|ビースト|Be_Street_pua|real
person|try-pua|トライ|try_pua|real
person|murakami-pua|村上@明太子ナンパ|murakami_pua|real
person|onizuka-pua|鬼塚|onizuka_pua|real
person|nanpa-obiwan|おび1@美容院にはもう行かない|nanpa_ObiWan|real
person|obiwan-beauty|おびわん美容|obiwan_beauty|real
person|pua-kei-mh|けい@味噌のホープ|PUA_KEI_MH|real
person|pua-kei-sg|けい@即画|PUA_KEI_SG|real
person|akagi-subpua|赤木さぶ@国王講習生|akagi_subpua|real
person|gokun-pua|忠犬ゴックン@KRT|GOKUN_pua|real
person|renren-pua|れん@無所属|Renren_pua|real
person|nandeyanen-pua|園長@KRT流|nandeyanen_pua|real
person|r-pua-pua|R-指定|R_pua_pua|real
person|speedstarsora|そらじろー @短髪強いられ勢|speedstarsora|real
person|choumi-pua|高杉@ボス猿Land|choumi_pua|real
person|lillard-motetai|リラード|lillard_motetai|real
person|pua-marcelo|M|Pua_Marcelo|real
person|vegetst|やさい🥒|vegetst|real
person|dawson-nst|ドーソン|Dawson_nst|real
person|nmpst913|悠也くん@ユーモア刺しNo.1|nmpst913|real
person|kiri-stomach|キリー🛌🧀|KiriStomach|real
person|anus-asterisk|がまぐっちぃ🐸仙人モード|anus_asterisk|real
person|outlook-sabo4|さぼ団長@相席講習|outlook_sabo_4|real
person|outlook-sub4|さぼのサブ@部長|outlook_sub_4|real
person|saikyo-sutoti|K|Saikyo_sutoti|real
person|shunon-street|シュノン@ジュルマ一門|shunon_street|real
person|nanpasd|ゆきひで@ナンパ師|nanpasd|real
person|nanpahamehame|イーブラ2|Nanpahamehame|real
person|pua-ishikawa|石川達也 Tatsuya Ishikawa ナンパ工学アカデミー|pua_ishikawa|real
person|doraemon-pua|けいすけ|doraemon_pua|real
person|hayato-pua|一ノ瀬|Hayato_pua|real
person|sendainanpa1234|K太郎|sendainanpa1234|real
person|niko-pua|ボズアウトbot|Niko_PUA|real
person|isaac-pua|カルド@S氏クラス|ISAAC_PUA|real
person|mirinn-pua|みりんpua/明太子|Mirinn_pua|real
person|betty-boopua|ベティ|Betty_boopua|real
person|whity-dogging-pua|麻雀大好きホワイトドッグ🐶@SSB クンニ垢 兼 ラップ垢|WhityDoggingPUA|real
person|sexercisepua|ユユ院長@会員制プライベートサロン”腰ふり改善整体”準備中|SEXercisePUA|real
person|pino-pick-up|🏆野生くん(半引退)|Pino_pick_up_|real
person|nikepuamiso|ニケ|nikepuamiso|real
person|k-suto-nan|K@Mの王|K_suto_nan|real
person|dd-mote|DD|dd_mote|real
person|streetbucha|ブチャ@フランス産最高級チーズ|streetbucha|real
person|pua-entertainer|ヤナセ|PUA_entertainer|real
person|minato-pua|⚓️|minato_pua|real
person|pua-miura|三浦|pua_miura|real
person|korasyo-renai|こらしょ|korasyo_renai|real
person|oguri-mote|小栗|oguri_mote|real
person|motegasubete|モテ特化ボイトレ|motegasubete|real
person|leopard-nanpa|レオパ🐯🍌💦|Leopard_nanpa|real
person|happy-0721-nan|奈落の花|happy_0721_nan|real
person|chai-mote|チャイ|chai_mote|real
person|nanpasireiji|零時レイ＠モテの法則|nanpasireiji|real
person|senju-insta|千咒|Senju_Insta|real
person|1tensaipua1|天|1tensaipua1|real
person|lcup-pua|L@明太子|lcup_pua|real
person|ugly-pua|りょりょ|ugly_pua|real
person|motemoteyagi|ヤギ|motemoteyagi|real
person|jackie-pua|ジャッキー|jackie_pua|real
person|long-island-pua|ロン愛|Long_Island_pua|real
person|nampa-girl|なつです。|nampa_girl|real
person|igaku-sato|医学生佐藤@🔞で月収100万|igaku_sato|real
person|kgori-0412|Kousuke【人生を変えるボディメイク】|kgori_0412|real
person|sen-xxv|𝓢𝓮𝓷|sen_xxv|real
person|nrtq5ihqepycy0n|ちゃぱんこ🎐|NRTq5ihqEpYCy0N|real
person|25basabe|Ye|25basabe|real
person|na-tu-sb|なつ。|na__tu__sb|real
community|palace-chilll|ハイメンズ不動産|palace_chilll|real
content|natu-douga|なつの動画保存庫|natu__douga|real
